AvenueName,time_band,대형버스,대형트럭,소형버스,소형트럭,승용차,오토바이
동막교사거리_경기고속삼거리방면,심야(00-04),2.0864651440783875,0.9816528716063246,0.01811167659790267,5.62910908662815,88.64578994077482,2.6388712803144188
동막교사거리_경기고속삼거리방면,새벽첫차(04-07),24.14450204285968,4.026775188540607,1.2555916218529464,13.913247097201362,56.156032491965824,0.5038515575795747
동막교사거리_경기고속삼거리방면,출근(07-10),7.493949316628703,1.0761572567523592,0.3292283599088838,11.32748942401562,79.32293361535957,0.4502420273348519
동막교사거리_경기고속삼거리방면,낮(10-17),6.599564129625571,1.6991606067423761,0.2157143146821883,7.025392297820939,82.54104510398994,1.9191235471389851
동막교사거리_경기고속삼거리방면,퇴근(17-20),4.465714274082247,0.7625383202986643,0.20396780484230154,3.03732895813571,89.84537530483212,1.6850753378089542
동막교사거리_경기고속삼거리방면,저녁(20-24),8.165661602690479,0.6908848428621129,0.08697669024701381,2.0326452510727124,87.41708222196452,1.6067493911631683
동막교사거리_동막교삼거리방면,심야(00-04),10.06124157377627,0.8772084416442701,0.08943913292505618,4.5869498171564524,80.95298938185664,3.4321716526413177
동막교사거리_동막교삼거리방면,새벽첫차(04-07),15.258270154798954,2.342146007824596,0.7698392910460395,9.206366795640141,71.6861665943307,0.737211156359562
동막교사거리_동막교삼거리방면,출근(07-10),10.515140672012208,1.3355034800781365,0.9965456795933341,4.534056591820737,81.99952383007695,0.6192297464186313
동막교사거리_동막교삼거리방면,낮(10-17),9.520510168001445,0.8475840686079141,0.6563090252564228,4.557899460745111,82.20701209462085,2.210685182768253
동막교사거리_동막교삼거리방면,퇴근(17-20),7.8508331442889405,0.9307823929942237,0.4340421263105337,2.160577917258974,86.81669001697409,1.8070744021732317
동막교사거리_동막교삼거리방면,저녁(20-24),13.790574872647102,1.2524216699657826,0.08702211771645536,1.7022790233752427,81.39825258939416,1.769449726901259
동막교사거리_오리공원방면,심야(00-04),0.7865908903714686,2.545095132196689,0.037064492216456635,12.68429289185405,81.27007659995058,2.6768799934107568
동막교사거리_오리공원방면,새벽첫차(04-07),1.0050672841370516,1.343165878049599,0.5956575724017584,6.882781301385952,89.8167723749119,0.35655558911372864
