AvenueName,time_band,대형버스,대형트럭,소형버스,소형트럭,승용차,오토바이,cluster_k2,cluster,cluster_name
동막교사거리_경기고속삼거리방면,심야(00-04),2.0864651440783875,0.9816528716063246,0.0181116765979026,5.62910908662815,88.64578994077482,2.6388712803144188,1,2,배달·대중교통 혼합(오후~야간)
동막교사거리_경기고속삼거리방면,새벽첫차(04-07),24.14450204285968,4.026775188540607,1.2555916218529464,13.913247097201362,56.156032491965824,0.5038515575795747,0,3,새벽 첫차 대중교통 극단형
동막교사거리_경기고속삼거리방면,출근(07-10),7.493949316628703,1.0761572567523592,0.3292283599088838,11.32748942401562,79.32293361535957,0.4502420273348519,0,0,물류/화물 중심
동막교사거리_경기고속삼거리방면,낮(10-17),6.599564129625571,1.699160606742376,0.2157143146821883,7.025392297820939,82.54104510398994,1.9191235471389847,1,0,물류/화물 중심
동막교사거리_경기고속삼거리방면,퇴근(17-20),4.465714274082247,0.7625383202986643,0.2039678048423015,3.03732895813571,89.84537530483212,1.6850753378089542,1,2,배달·대중교통 혼합(오후~야간)
동막교사거리_경기고속삼거리방면,저녁(20-24),8.165661602690479,0.6908848428621129,0.0869766902470138,2.0326452510727124,87.41708222196452,1.6067493911631685,1,2,배달·대중교통 혼합(오후~야간)
동막교사거리_동막교삼거리방면,심야(00-04),10.06124157377627,0.8772084416442701,0.0894391329250561,4.5869498171564524,80.95298938185664,3.4321716526413177,1,2,배달·대중교통 혼합(오후~야간)
동막교사거리_동막교삼거리방면,새벽첫차(04-07),15.258270154798954,2.342146007824596,0.7698392910460395,9.20636679564014,71.6861665943307,0.737211156359562,0,3,새벽 첫차 대중교통 극단형
동막교사거리_동막교삼거리방면,출근(07-10),10.515140672012208,1.3355034800781365,0.996545679593334,4.534056591820737,81.99952383007695,0.6192297464186313,1,1,일반/무난한 접근로
동막교사거리_동막교삼거리방면,낮(10-17),9.520510168001444,0.8475840686079141,0.6563090252564228,4.557899460745111,82.20701209462085,2.210685182768253,1,2,배달·대중교통 혼합(오후~야간)
동막교사거리_동막교삼거리방면,퇴근(17-20),7.8508331442889405,0.9307823929942236,0.4340421263105337,2.160577917258974,86.81669001697409,1.807074402173232,1,2,배달·대중교통 혼합(오후~야간)
동막교사거리_동막교삼거리방면,저녁(20-24),13.790574872647102,1.2524216699657826,0.0870221177164553,1.7022790233752427,81.39825258939416,1.769449726901259,1,2,배달·대중교통 혼합(오후~야간)
동막교사거리_오리공원방면,심야(00-04),0.7865908903714686,2.545095132196689,0.0370644922164566,12.68429289185405,81.27007659995058,2.6768799934107568,1,0,물류/화물 중심
동막교사거리_오리공원방면,새벽첫차(04-07),1.0050672841370516,1.343165878049599,0.5956575724017584,6.882781301385952,89.8167723749119,0.3565555891137286,1,0,물류/화물 중심
동막교사거리_오리공원방면,출근(07-10),0.2185097290033927,0.5609983642703186,0.2635479743925404,3.0252337905622606,95.71889205916342,0.2128180826080608,1,1,일반/무난한 접근로
동막교사거리_오리공원방면,낮(10-17),0.2737053093515348,0.8945722073327209,0.5904973768326107,5.8956731024743565,91.19359810494188,1.1519538990668965,1,1,일반/무난한 접근로
동막교사거리_오리공원방면,퇴근(17-20),0.5572184338959603,1.6609806190461955,0.7672961882843223,4.488063569870068,91.23992843692756,1.2865127519758837,1,1,일반/무난한 접근로
